Trek,Cost_USD,Duration_Days,Max_Altitude_m,Trip_Grade_Ordinal,Accom_Guesthouse,Accom_Lodge,Accom_LuxuryLodge,Accom_Teahouse,Accom_TeahouseLodge,Travel_AprMay_SeptNov,Travel_JanMay_SeptDec,Travel_MarMay_SeptDec,Travel_MarMay_SeptNov,Travel_MarNov,Anomaly,Anomaly_Score,Hidden_Gem_Score
Tsum Valley and Manaslu Trek,1499.0,27,4460,6,1,0,0,0,0,0,1,0,0,0,-1,-0.07289266365667912,1.9942731144673391
Everest Advanced Base Camp Trek from Tibet,1499.0,18,6340,5,1,0,0,0,0,0,1,0,0,0,-1,-0.016778877829274452,1.9716501896979421
Tamang Heritage Trail,750.0,8,2607,2,0,0,0,0,1,0,1,0,0,0,-1,-0.007415933222023385,0.9557414286015538
Nepal Experience Tour,1499.0,12,3210,1,1,0,0,0,0,0,1,0,0,0,-1,-0.0540504694299796,0.6164238278376171
Short Annapurna Trek,590.0,5,1990,2,0,1,0,0,0,0,1,0,0,0,-1,-0.10950447176039524,0.5796142564693549
The Royal Trek,1499.0,9,1730,4,1,0,0,0,0,0,1,0,0,0,-1,-0.012010479932269336,0.5218088088754387
Nepal Hiking and Culture Tour,1499.0,8,1550,4,1,0,0,0,0,0,1,0,0,0,-1,-0.04691014459584231,0.44631457026119936
